flow_id,size_bytes,start_time,end_time,fct
0,17859,0.5,1,0.5
1,35518,0.571504,1.0715,0.5
2,46029,0.575652,1.07565,0.5
3,11558,0.578685,1.07869,0.5
4,35328,0.622366,1.12237,0.5
6,15286,0.740784,1.24078,0.5
7,28141,0.819453,1.31945,0.5
5,160565,0.704204,1.34646,0.64226
8,97521,1.04301,1.54301,0.5
9,8025,1.22993,1.72993,0.5
10,14409,1.38464,1.88464,0.5
11,94061,1.43681,1.93681,0.5
12,64493,1.45955,1.95955,0.5
13,25667,1.49288,1.99288,0.5
14,20866,1.63584,2.13584,0.5
15,65046,1.70192,2.20192,0.5
16,18654,1.76305,2.26305,0.5
18,142618,1.94708,2.51755,0.570472
19,41550,2.07579,2.57579,0.5
20,13193,2.09516,2.59516,0.5
17,180942,1.87335,2.59712,0.723768
21,15932,2.39903,2.89903,0.5
22,42841,2.4737,2.9737,0.5
23,69007,2.65829,3.15829,0.5
24,113307,2.81234,3.31234,0.5
25,24644,2.8342,3.3342,0.5
26,57805,3.15201,3.65201,0.5
27,29235,3.16142,3.66142,0.5
28,11398,3.19273,3.69273,0.5
29,19662,3.21223,3.71223,0.5
30,28143,3.2162,3.7162,0.5
31,76882,3.2397,3.7397,0.5
32,72516,3.42003,3.92003,0.5
33,16725,3.47721,3.97721,0.5
35,45034,3.6925,4.1925,0.5
37,88939,3.83261,4.33261,0.5
34,171656,3.67386,4.36049,0.686624
36,137595,3.8154,4.36578,0.55038
38,25376,4.085,4.585,0.5
39,119099,4.12267,4.62267,0.5
40,14987,4.19132,4.69132,0.5
41,26504,4.21883,4.71883,0.5
42,112937,4.25256,4.75256,0.5
43,41021,4.45828,4.95828,0.5
44,16042,4.61925,5.11925,0.5
46,24434,4.83348,5.33348,0.5
45,167035,4.6756,5.34374,0.66814
47,26053,5.16956,5.66956,0.5
48,59010,5.18455,5.68455,0.5
49,5077,5.20154,5.70154,0.5
50,24205,5.23198,5.73198,0.5
51,16684,5.4476,5.9476,0.5
52,45243,5.47154,5.97154,0.5
53,33504,5.55908,6.05908,0.5
54,118493,5.60986,6.10986,0.5
55,45718,5.62647,6.12647,0.5
56,71627,5.63435,6.13435,0.5
57,15503,5.75302,6.25302,0.5
58,18023,5.88921,6.38921,0.5
59,98704,5.91505,6.41505,0.5
60,24659,6.02151,6.52151,0.5
61,116857,6.14258,6.64258,0.5
62,36249,6.15318,6.65318,0.5
63,23888,6.1881,6.6881,0.5
64,28283,6.26437,6.76437,0.5
65,36850,6.4589,6.9589,0.5
66,27793,6.65313,7.15313,0.5
67,11994,6.76447,7.26447,0.5
68,24442,6.7857,7.2857,0.5
69,87680,7.02006,7.52006,0.5
70,42280,7.25904,7.75904,0.5
71,57599,7.32847,7.82847,0.5
72,62955,7.35149,7.85149,0.5
73,53150,7.38029,7.88029,0.5
74,57140,7.57925,8.07925,0.5
76,62456,7.59721,8.09721,0.5
77,18395,7.68324,8.18324,0.5
75,168501,7.59276,8.26677,0.674004
79,78129,7.85439,8.35439,0.5
80,54497,7.85994,8.35994,0.5
81,82166,7.94439,8.44439,0.5
82,71011,8.15846,8.65846,0.5
84,58063,8.28366,8.78366,0.5
85,138891,8.28869,8.84425,0.555564
78,279080,7.73696,8.85328,1.11632
