flow_id,size_bytes,start_time,end_time,fct
0,78443,0.5,1,0.5
1,17470,0.625462,1.12546,0.5
2,32908,0.650888,1.15089,0.5
3,7391,0.80202,1.30202,0.5
4,30787,0.894688,1.39469,0.5
5,46195,1.20854,1.70854,0.5
6,15724,1.26676,1.76676,0.5
7,29974,1.39896,1.89896,0.5
9,26222,1.5041,2.0041,0.5
10,26070,1.60425,2.10425,0.5
11,5708,1.65134,2.15134,0.5
12,114034,1.66002,2.16002,0.5
13,38663,1.7051,2.2051,0.5
14,43873,1.71297,2.21297,0.5
8,209620,1.4026,2.24108,0.83848
15,18540,1.89028,2.39028,0.5
16,158802,2.12522,2.76043,0.635208
17,27907,2.32256,2.82256,0.5
18,83246,2.32713,2.82713,0.5
19,68497,2.39943,2.89943,0.5
20,69391,2.69972,3.19972,0.5
21,55114,2.77201,3.27201,0.5
22,110747,2.92654,3.42654,0.5
23,110060,3.03648,3.53648,0.5
24,44328,3.05601,3.55601,0.5
25,5832,3.10589,3.60589,0.5
26,119446,3.12062,3.62062,0.5
28,58137,3.5769,4.0769,0.5
29,112991,3.59014,4.09014,0.5
31,125316,3.97941,4.48068,0.501264
27,267473,3.50992,4.57981,1.06989
32,79226,4.10919,4.60919,0.5
33,18659,4.21902,4.71902,0.5
34,12131,4.28288,4.78288,0.5
30,242474,3.83965,4.80954,0.969896
35,53613,4.33524,4.83524,0.5
36,13574,4.40251,4.90251,0.5
37,129346,4.45521,4.97259,0.517384
38,102544,4.49323,4.99323,0.5
39,100147,4.50252,5.00252,0.5
40,6392,4.60771,5.10771,0.5
41,29620,4.79126,5.29126,0.5
42,154531,5.00088,5.61901,0.618124
43,22183,5.21647,5.71647,0.5
45,36668,5.36121,5.86121,0.5
47,30039,5.86916,6.36916,0.5
48,16989,6.22566,6.72566,0.5
46,231322,5.82859,6.75388,0.925288
49,90127,6.25718,6.75718,0.5
50,52836,6.34576,6.84576,0.5
44,403763,5.26658,6.88163,1.61505
51,23065,6.64204,7.14204,0.5
52,79656,6.65347,7.15347,0.5
53,23173,6.91275,7.41275,0.5
55,208046,6.98987,7.82206,0.832184
56,36228,7.61226,8.11226,0.5
57,40552,7.62561,8.12561,0.5
59,136969,7.76975,8.31762,0.547876
58,198937,7.66865,8.4644,0.795748
60,41834,8.07272,8.57272,0.5
54,414784,6.97005,8.62918,1.65914
61,89534,8.28071,8.78071,0.5
62,30850,8.31559,8.81559,0.5
63,23139,8.40576,8.90576,0.5
64,13354,8.6256,9.1256,0.5
65,85937,8.62775,9.12775,0.5
67,24547,8.65079,9.15079,0.5
68,38334,8.86399,9.36399,0.5
69,81958,8.88508,9.38508,0.5
70,15379,9.07228,9.57228,0.5
71,75411,9.20321,9.70321,0.5
72,54405,9.271,9.771,0.5
73,101166,9.31057,9.81057,0.5
75,66089,9.33513,9.83513,0.5
76,31256,9.35917,9.85917,0.5
77,31583,9.4419,9.9419,0.5
78,23574,9.49499,9.99499,0.5
66,340123,8.64371,10.0042,1.36049
79,65207,9.57097,10.071,0.5
74,198431,9.3224,10.1161,0.793724
80,49341,9.67829,10.1783,0.5
81,54147,9.91744,10.4174,0.5
