flow_id,tx_packets,rx_packets,lost_packets,retx_packets,mean_delay_ms,throughput_mbps
1,8241,7825,424,4,62.7679,0.473139
2,9228,8774,509,4,64.5621,0.530535
3,11511,10387,1619,4,66.709,0.628089
4,8684,8179,596,4,63.0528,0.494549
5,7782,7366,451,4,64.2505,0.445379
6,4654,4651,0,9302,12.0548,0.0102416
7,5330,5328,0,10656,12.0554,0.0118907
8,6649,6649,0,13298,12.0581,0.0155568
9,5018,5018,0,10036,12.0554,0.0111931
10,4506,4506,0,9012,12.0553,0.0100069
11,27,16,13,8,78.875,0.0007478
12,37,28,10,8,79.9643,0.00147912
13,45,35,18,8,80.4571,0.00191412
14,19,11,8,8,76.9091,0.00048536
15,12,12,0,24,12,2.832e-05
16,35,30,5,8,77.6667,0.00159248
17,22,22,0,44,12.0455,4.976e-05
18,29,29,0,58,12.0345,6.912e-05
19,9,9,0,18,12,2.016e-05
20,130,113,20,8,80.0177,0.0066578
21,24,24,0,48,12.0417,5.776e-05
22,18,14,4,8,83.8571,0.00064072
23,87,87,0,174,12.0575,0.00021376
24,9,9,0,18,12,2.016e-05
25,29,23,6,8,77.1304,0.00117364
26,19,19,0,38,12.0526,4.608e-05
27,76,70,6,8,85.5857,0.0040466
28,51,51,0,102,12.0588,0.00012928
29,9,9,0,8,88,0.00033988
30,6,6,0,12,12,1.264e-05
31,15,13,2,8,86,0.00060356
32,74,68,6,8,81.5,0.00390404
33,61,48,13,8,80.2917,0.00267972
34,9,9,0,18,12,1.888e-05
35,26,24,2,8,81.125,0.00125196
36,40,40,0,80,12.05,9.008e-05
37,36,36,0,72,12.0556,8.528e-05
38,18,18,0,36,12,4.016e-05
39,28,19,12,10,82.2632,0.00089136
40,61,52,9,10,81.8846,0.0029176
41,18,18,0,36,12.0556,4.336e-05
42,19,16,4,8,55.4375,0.0007796
43,40,40,0,80,12.05,9.2e-05
44,10,10,0,20,12,2.096e-05
45,140,127,13,8,79.9606,0.007502
46,80,80,0,160,12.05,0.00018096
47,123,105,19,10,83.6095,0.0061384
48,91,91,0,182,12.0549,0.00023296
49,43,32,11,8,81.5938,0.00172872
50,22,13,14,8,82.6154,0.00055492
51,28,28,0,56,12.0357,7.184e-05
52,8,8,0,16,12,1.68e-05
53,21,14,7,8,83.8571,0.00066656
54,33,33,0,8,82.5455,0.00178244
