flow_id,tx_packets,rx_packets,lost_packets,retx_packets,mean_delay_ms,throughput_mbps
1,9897,8219,2158,4,73.5035,0.496968
2,11259,9582,2194,4,73.7591,0.579403
3,9051,7544,2016,4,73.925,0.456144
4,9390,7572,2557,4,74.0869,0.457838
5,11166,9109,2674,4,73.2676,0.550796
6,6445,6445,0,12890,12.0618,0.0160803
7,7329,7329,0,14658,12.0613,0.0181069
8,5923,5923,0,11846,12.0606,0.0144778
9,6105,6100,0,12200,12.0623,0.0153413
10,7184,7184,0,14368,12.0617,0.0178878
11,28,19,9,8,79.3684,0.00093636
12,238,176,92,10,76.9375,0.0104371
13,15,15,0,30,12,3.424e-05
14,146,146,0,292,12.0548,0.00035024
15,216,200,16,8,73.175,0.0118658
16,58,45,13,8,77.2444,0.00252836
17,142,142,0,284,12.0563,0.00034096
18,35,35,0,70,12.0571,8.48e-05
19,15,15,0,8,81.4,0.0006902
20,115,91,32,10,74.1429,0.00521736
21,52,32,38,8,64,0.00174992
22,9,9,0,18,12,1.888e-05
23,82,82,0,164,12.061,0.0002072
24,17,17,0,34,12,3.552e-05
25,22,22,0,8,66.7727,0.00110992
26,20,18,2,8,81,0.00089236
27,12,12,0,24,12,2.512e-05
28,10,10,0,20,12,2.16e-05
29,46,37,13,10,78.2973,0.00198736
30,28,21,9,8,66.8095,0.00104532
31,86,73,18,8,78.863,0.00419996
32,30,30,0,60,12.0333,6.928e-05
33,12,12,0,24,12,2.512e-05
34,61,61,0,122,12.0492,0.00015296
35,70,59,12,8,84.5085,0.0033418
36,49,49,0,98,12.0612,0.0001264
37,89,68,33,8,73.7794,0.00393192
38,58,41,19,10,79.7805,0.00219152
39,63,63,0,126,12.0635,0.00018208
40,36,36,0,72,12.0556,9.584e-05
41,56,42,16,8,80.1429,0.0023158
42,41,26,15,8,76.4615,0.00137344
43,133,94,61,6,73.5638,0.00554492
44,32,32,0,64,12.0625,8.08e-05
45,21,21,0,42,12.0476,5.376e-05
46,63,63,0,126,12.0476,0.00014432
47,49,49,0,8,73.9592,0.00276316
48,26,26,0,52,12.0385,5.424e-05
49,28,21,7,8,80.2381,0.00105248
50,14,14,0,28,12,3.088e-05
51,41,41,0,8,57.6341,0.00225252
52,22,22,0,44,12.0455,4.592e-05
53,86,61,37,8,71.8033,0.00346624
54,59,48,14,8,76.3958,0.00268068
55,69,53,20,10,73.0377,0.00295016
56,99,76,27,10,66.75,0.00432656
57,49,49,0,98,12.0612,0.00013504
58,40,40,0,80,12.05,9.84e-05
59,45,45,0,90,12.0667,0.00011872
60,69,69,0,138,12.058,0.00019136
61,111,77,45,8,68.961,0.0044236
62,39,32,7,10,71.5625,0.00169248
63,66,66,0,132,12.0606,0.00018096
64,25,25,0,50,12.04,6.176e-05
65,11,11,0,8,52.9091,0.00044876
66,7,7,0,14,12,1.472e-05
67,54,46,9,8,74.8043,0.0025654
68,26,18,8,8,82.2222,0.00086552
69,32,32,0,64,12.0625,8.112e-05
70,13,13,0,26,12,3.008e-05
71,62,44,21,10,79.75,0.00244904
72,17,17,0,8,71.8235,0.000824
73,38,38,0,76,12.0526,0.00010352
74,60,45,15,10,68.6667,0.00247272
